Date,Time,Action,Description,Location,Agency,Service Type,Product,Amount,Balance
Feb-28-2025,08:49 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-28-2025,08:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-27-2025,10:25 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-27-2025,09:55 PM,Usage,Pass Use On Entry,142 Street & Buena Vista Road,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-27-2025,06:27 PM,Usage,Pass Use On Exit,149 Street & 84 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-27-2025,06:06 PM,Usage,Pass Use On Entry,Mill Woods Transit Centre Bay G,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-27-2025,05:21 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Feb-27-2025,03:33 PM,Usage,Pass Use On Entry,109 Street & 82 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-27-2025,10:32 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-27-2025,10:15 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-26-2025,08:21 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-26-2025,08:02 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-26-2025,08:17 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-26-2025,08:02 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-25-2025,10:35 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-25-2025,10:15 PM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-25-2025,11:59 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-25-2025,11:43 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-24-2025,09:25 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-24-2025,09:00 PM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-24-2025,06:49 PM,Usage,Pass Use On Exit,116 Street & 103 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-24-2025,06:47 PM,Usage,Pass Use On Entry,116 Street & 100 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Feb-24-2025,08:01 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Feb-24-2025,07:46 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
