No.;Time;Comment;Scramble;Date;P.1
1;2:53.32;;3Fw2 3Rw' Fw' Uw Lw2 Dw' D' 3Rw' Rw' Lw R' Fw' R2 F' Dw2 3Fw2 Dw2 Rw' Dw Bw' U2 F2 Dw' 3Uw2 Rw' Dw R' 3Fw2 L2 Bw U2 R L' 3Uw2 3Rw' Rw2 Dw' 3Fw' Bw U2 B Rw Uw R 3Fw L Bw U Dw2 3Fw' Dw' L' B D2 L' Rw2 Lw D' 3Rw' 3Fw2 Bw2 3Rw' L' R Bw' 3Fw 3Rw2 3Fw' D2 U R' B D' Rw2 R 3Fw2 Dw2 3Rw2 Lw L2;2024-06-03 16:36:21;2:53.32
2;2:53.15;;U Uw Rw2 L2 B R' L2 Fw2 B' Lw 3Fw' R' Bw' U2 3Rw' Rw' R F2 Lw2 Uw Fw 3Fw2 D' U' B L D R Fw2 3Uw Fw Rw2 U Dw' D2 B2 L2 B' Rw2 Fw2 3Fw2 Dw Fw2 Bw L' 3Rw2 Bw D' Uw B2 L2 Bw2 U' Dw2 Bw' R Lw' 3Uw2 Bw2 Uw B2 L' F D2 Lw2 D' L Uw F2 U2 B2 Rw L2 D 3Fw B2 Rw2 B' L' 3Fw;2024-06-03 16:40:40;2:53.15
3;2:47.31;;R F' R2 D' Bw D 3Rw' D2 Fw2 D Rw 3Fw2 U' R' Fw2 B R F Bw U2 R Lw2 F2 B 3Uw Lw2 Dw2 3Rw2 3Uw2 3Fw Lw' R2 Uw F Lw2 B Dw' Uw' D2 B' D2 B2 D' F Dw2 3Fw R2 U B Rw 3Rw2 Fw' L2 Bw2 U' L Uw2 Dw 3Rw2 3Uw2 Bw2 F' Fw B' Dw' 3Uw2 Uw' 3Rw' U2 3Fw' Bw Dw R2 D Fw' Uw' Fw2 U2 3Uw' B';2024-06-03 16:44:26;2:47.31
4;3:13.62;;Dw2 R' D Fw2 R2 Fw U Uw' Lw R' L2 Bw2 Fw R B2 L Lw Fw' Lw Fw' B' Bw2 Rw2 L2 Lw2 Dw Rw F 3Uw2 Rw' U' Lw U2 R' D Uw 3Uw' 3Rw2 R B2 F2 D Bw2 Lw2 Uw2 Bw2 D' R2 Uw2 3Rw' B2 U2 Lw B F R 3Rw Rw' Uw' U2 Fw' 3Rw2 Dw' U' F Dw2 3Fw2 F Dw2 U' F2 Uw' Bw 3Uw' Fw2 B' Bw' Rw B U';2024-06-03 20:09:26;3:13.62
5;3:05.52;;3Fw2 Uw2 R D' 3Rw B' F Dw R Rw2 3Fw2 D' 3Fw' Uw' Dw' L 3Rw2 Rw' 3Fw2 L Rw Bw2 Lw' U' Lw2 3Uw R' Fw U2 L' Bw' U2 D' Bw2 Fw' R Lw U 3Rw' Uw2 Bw Dw F2 Fw L2 R2 Dw 3Rw F2 D' R' Fw Lw2 3Fw' Fw2 F Dw2 3Rw2 F' B Lw' Rw Fw' Bw2 Dw' B' Dw' Uw F' 3Rw U Uw2 Fw' Dw2 U2 Rw' Dw' Lw2 3Rw2 3Uw;2024-06-03 20:13:39;3:05.52
6;3:01.25;;D L2 Dw' B2 3Uw' Dw' L2 Dw 3Uw2 Rw' R F R Rw2 Uw2 Fw 3Rw' B' L2 3Rw' D 3Uw2 Dw2 L2 Dw D2 Fw U' B R B 3Uw' Rw 3Rw L' Bw 3Uw' Uw' Dw2 3Rw' B2 Lw' 3Uw2 B Dw U2 3Fw F R' 3Fw B' Uw Dw L' D L2 Fw2 Dw' Rw D' Rw' 3Fw2 B Uw2 3Fw 3Rw2 Fw 3Rw' D2 L2 U2 F Uw F2 Rw' 3Fw U R D 3Fw;2024-06-03 20:17:48;3:01.25
7;3:00.28;;Rw Uw' Bw2 Rw' Fw2 Lw' Rw2 B' Uw2 3Rw Lw L Uw' Lw2 R' 3Rw Uw2 R D2 3Uw' Uw Rw2 Dw Bw' Fw' Lw2 U Uw L R 3Fw2 Lw2 R D R' Fw2 U' Rw2 3Uw2 B' 3Fw U 3Rw2 L2 F D' R' 3Uw2 Lw' Fw2 U2 Uw2 Rw2 Dw' Fw F2 U L Bw Rw' Lw' Uw Bw U2 3Rw' Dw2 Rw2 Bw2 Fw 3Fw' 3Uw R Rw' Lw2 3Rw2 Uw Lw' 3Fw2 B' Lw2;2024-06-04 09:37:19;3:00.28
8;3:17.03;;Dw Rw' Uw2 3Rw' 3Uw2 D 3Fw2 Fw D' Rw2 Fw' U Rw' R B' L' Dw2 3Fw' Lw2 Uw2 U2 Rw Lw F' B D2 Uw' B Rw2 D2 3Uw U 3Rw Uw Lw' B 3Rw' B R' 3Rw' D' L' Fw D2 F Bw2 Dw2 L' D' Lw B' F' 3Rw 3Fw Uw D' U Fw2 Rw' B2 Dw2 Rw' Dw' 3Rw2 3Uw2 3Rw2 3Fw 3Rw2 3Fw' 3Rw D2 Dw2 3Rw' L Lw Dw' Lw D' F' Lw2;2024-06-04 09:41:21;3:17.03
9;2:50.10;;Lw' 3Fw D 3Rw' Uw B Lw' R' F Uw' Dw2 Bw' U2 3Uw' D2 F' B2 3Uw2 U 3Rw2 3Fw B' 3Rw2 Rw' Lw' Dw Rw U' Fw2 Dw' Rw' Dw2 U B' D' R2 L Uw Rw' L' Dw' Bw' F Rw2 3Uw2 Dw' Uw2 Bw2 3Fw2 Uw2 R2 3Fw 3Rw Rw Bw F Lw2 3Fw F' U Dw2 D' Uw Rw2 Bw2 L2 Uw2 B' D2 3Fw2 Dw2 R' 3Uw' Uw' 3Fw' Rw 3Rw Dw' 3Rw' Dw';2024-06-04 09:45:58;2:50.10
10;2:40.88;;Dw2 D 3Uw2 R U' 3Fw2 Rw2 Bw 3Rw Dw2 B Rw2 3Fw2 L2 Dw' F2 Fw' R D' L F2 R2 Rw' B' 3Fw' 3Rw Dw Fw Uw' Fw2 B' 3Fw' L' F' 3Fw Dw2 Rw2 R 3Rw' Uw' Dw2 B' R2 3Uw' U L Bw 3Rw' Lw L2 R' Bw2 3Uw' Fw 3Uw2 Dw2 B2 F' U' Fw2 D' 3Uw' U' Rw Lw' L Fw D2 B' Rw Lw' 3Uw Dw R' Lw2 Dw' L' D' Lw L;2024-06-04 19:38:23;2:40.88
