Date,Time,Action,Description,Location,Agency,Service Type,Product,Amount,Balance
Oct-24-2024,01:30 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-24-2024,09:49 AM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-24-2024,09:30 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-24-2024,07:48 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-24-2024,07:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-23-2024,06:09 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-23-2024,05:54 PM,Usage,Pass Use On Entry,Health Sciences Jubilee Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-23-2024,08:51 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-23-2024,08:42 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-22-2024,07:08 PM,Usage,Pass Use On Exit,134 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-22-2024,07:02 PM,Usage,Pass Use On Entry,117 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-22-2024,06:52 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-22-2024,06:31 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-21-2024,04:56 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-21-2024,04:40 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-21-2024,10:38 AM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Oct-21-2024,08:50 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-21-2024,08:49 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-21-2024,08:31 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-19-2024,07:19 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-19-2024,07:05 PM,Usage,Pass Use On Entry,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-19-2024,01:39 PM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-19-2024,01:29 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-18-2024,05:02 PM,Usage,Pass Use On Exit,116 Street & 103 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-18-2024,04:36 PM,Usage,Pass Use On Entry,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-18-2024,08:51 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-18-2024,08:38 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-17-2024,04:07 PM,Usage,Pass Use On Exit,66 Street & 146 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-17-2024,03:48 PM,Usage,Pass Use On Entry,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-17-2024,03:47 PM,Usage,Pass Use On Exit,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-17-2024,03:25 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-17-2024,07:56 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-17-2024,07:39 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-16-2024,06:24 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-16-2024,06:08 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-16-2024,08:52 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-16-2024,08:38 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-15-2024,04:05 PM,Usage,Pass Use On Exit,66 Street & 144 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-15-2024,03:52 PM,Usage,Pass Use On Entry,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-15-2024,03:51 PM,Usage,Pass Use On Exit,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-15-2024,03:25 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-15-2024,11:18 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-15-2024,11:03 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-14-2024,12:34 PM,Usage,Pass Use On Exit,132 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-14-2024,12:01 PM,Usage,Pass Use On Entry,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-13-2024,09:28 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-13-2024,09:01 PM,Usage,Pass Use On Entry,St Georges Crescent & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-11-2024,06:34 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,$0.00,
Oct-11-2024,04:46 PM,Usage,Pass Use On Entry,West Edmonton Mall Transit Centre Bay C,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-11-2024,04:38 PM,Usage,ABT Card Use Event,RSFS Default Location,Edmonton Transit Service,ETS LRT,,,
Oct-11-2024,01:21 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-11-2024,12:59 PM,Usage,Pass Use On Entry,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-11-2024,08:48 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-11-2024,08:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-10-2024,04:14 PM,Usage,Pass Use On Exit,66 Street & 140 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-10-2024,03:55 PM,Usage,Pass Use On Entry,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-10-2024,03:47 PM,Usage,Pass Use On Exit,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-10-2024,03:26 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-10-2024,11:11 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-10-2024,10:49 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-09-2024,05:41 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-09-2024,05:27 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-09-2024,08:50 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-09-2024,08:32 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-08-2024,07:35 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-08-2024,07:23 PM,Usage,Pass Use On Entry,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-08-2024,07:23 PM,Sales,Pass Missing Tap Fare,Belvedere Station,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,$0.00,
Oct-08-2024,07:13 PM,Usage,Pass Use On Entry,66 Street & 146 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-08-2024,05:40 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,$0.00,
Oct-08-2024,03:51 PM,Usage,Pass Use On Entry,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-08-2024,03:48 PM,Usage,Pass Use On Exit,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-08-2024,03:25 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-08-2024,02:30 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Oct-08-2024,12:42 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-07-2024,06:54 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Oct-07-2024,05:05 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-06-2024,08:58 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-06-2024,08:38 PM,Usage,Pass Use On Entry,St Georges Crescent & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-06-2024,06:45 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-06-2024,06:34 PM,Usage,Pass Use On Entry,101 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-06-2024,06:32 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-06-2024,06:16 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-05-2024,05:13 PM,Usage,Pass Use On Exit,134 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-05-2024,04:59 PM,Usage,Pass Use On Entry,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-05-2024,04:35 PM,Usage,Pass Use On Exit,Health Sciences Jubilee Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-05-2024,04:34 PM,Usage,Pass Use On Entry,Health Sciences Jubilee Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-05-2024,04:26 PM,Usage,Pass Use On Exit,112 Street & 84 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-05-2024,04:23 PM,Usage,Pass Use On Entry,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-05-2024,12:49 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-05-2024,12:33 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-03-2024,07:35 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-03-2024,07:21 PM,Usage,Pass Use On Entry,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-03-2024,07:20 PM,Usage,Pass Use On Exit,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-03-2024,07:12 PM,Usage,Pass Use On Entry,West Clareview Transit Centre Bay A,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-03-2024,04:03 PM,Usage,Pass Use On Exit,66 Street & 146 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-03-2024,03:54 PM,Usage,Pass Use On Entry,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-03-2024,03:54 PM,Sales,Pass Missing Tap Fare,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Oct-03-2024,03:25 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-03-2024,09:35 AM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Oct-03-2024,07:47 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-03-2024,07:33 AM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-03-2024,07:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-02-2024,04:46 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-02-2024,04:29 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-02-2024,10:43 AM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Oct-02-2024,08:54 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-01-2024,07:34 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-01-2024,07:21 PM,Usage,Pass Use On Entry,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-01-2024,07:20 PM,Usage,Pass Use On Exit,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-01-2024,07:10 PM,Usage,Pass Use On Entry,66 Street & 146 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-01-2024,04:08 PM,Usage,Pass Use On Exit,66 Street & 146 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-01-2024,03:56 PM,Usage,Pass Use On Entry,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-01-2024,03:56 PM,Sales,Pass Missing Tap Fare,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Oct-01-2024,03:51 PM,Usage,Pass Use On Entry,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-01-2024,03:26 PM,Usage,ABT Card Use Event,University Station,Edmonton Transit Service,ETS LRT,,,
Oct-01-2024,07:48 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-01-2024,07:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-27-2024,10:09 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-27-2024,09:47 PM,Usage,Pass Use On Entry,142 Street & 98 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-27-2024,08:26 PM,Usage,Pass Use On Exit,138 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-27-2024,08:18 PM,Usage,Pass Use On Entry,117 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-27-2024,08:48 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-27-2024,08:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-26-2024,08:35 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-26-2024,08:18 PM,Usage,Pass Use On Entry,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-26-2024,08:17 PM,Usage,Pass Use On Exit,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-26-2024,08:09 PM,Usage,Pass Use On Entry,66 Street & 146 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-26-2024,04:05 PM,Usage,Pass Use On Exit,66 Street & 146 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-26-2024,03:49 PM,Usage,Pass Use On Entry,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-26-2024,03:42 PM,Usage,Pass Use On Exit,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-26-2024,03:23 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-26-2024,07:49 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-26-2024,07:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-25-2024,06:48 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-25-2024,06:30 PM,Usage,Pass Use On Entry,Health Sciences Jubilee Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-25-2024,11:41 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-25-2024,11:30 AM,Usage,Pass Use On Entry,Bay Enterprise Square Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-25-2024,10:11 AM,Usage,Pass Use On Exit,Bay Enterprise Square Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-25-2024,09:57 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-25-2024,08:50 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-25-2024,08:35 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-24-2024,07:34 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-24-2024,07:21 PM,Usage,Pass Use On Entry,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-24-2024,07:19 PM,Usage,Pass Use On Exit,Belvedere Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-24-2024,07:10 PM,Usage,Pass Use On Entry,66 Street & 146 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-24-2024,05:30 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Sep-24-2024,03:41 PM,Usage,Pass Use On Entry,Belvedere Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-24-2024,09:36 AM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Sep-24-2024,07:47 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-23-2024,05:10 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-23-2024,04:50 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-23-2024,08:48 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-23-2024,08:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Sep-22-2024,09:44 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Sep-22-2024,09:26 PM,Usage,Pass Use On Entry,St Georges Crescent & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
