Date,Time,Action,Description,Location,Agency,Service Type,Product,Amount,Balance
Nov-01-2024,09:39 PM,Usage,Pass Use On Exit,West Edmonton Mall Transit Centre Bay C,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Nov-01-2024,09:22 PM,Usage,Pass Use On Entry,117 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Nov-01-2024,09:01 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Nov-01-2024,08:53 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-31-2024,07:43 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-31-2024,07:26 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-30-2024,10:51 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-30-2024,10:25 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-30-2024,05:48 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-30-2024,05:30 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-30-2024,01:38 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-30-2024,01:17 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-30-2024,08:50 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-30-2024,08:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-29-2024,05:32 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-29-2024,05:10 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-29-2024,07:54 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-29-2024,07:37 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-28-2024,05:19 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-28-2024,05:04 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-28-2024,10:37 AM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Oct-28-2024,08:49 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-26-2024,05:47 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-26-2024,05:45 PM,Usage,Pass Use On Entry,Southgate Transit Centre Bay N,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-26-2024,05:41 PM,Usage,Pass Use On Exit,124 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-26-2024,05:37 PM,Usage,Pass Use On Entry,117 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-26-2024,03:21 PM,Usage,Pass Use On Exit,116 Street & 105 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-26-2024,03:10 PM,Usage,Pass Use On Entry,114 Street & 87 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-25-2024,10:06 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-25-2024,09:48 PM,Usage,Pass Use On Entry,156 Street & 87 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-25-2024,03:56 PM,Usage,Pass Use On Exit,116 Street & 105 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-25-2024,03:43 PM,Usage,Pass Use On Entry,University Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Fall,,
Oct-25-2024,12:46 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-25-2024,12:32 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-25-2024,12:05 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,$0.00,
Oct-25-2024,10:17 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-25-2024,09:59 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-25-2024,08:49 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-24-2024,08:37 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-24-2024,08:18 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
Oct-24-2024,01:50 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Fall,,
