No.;Time;Comment;Scramble;Date;P.1
1;3:02.19;;Uw2 3Uw' B2 R2 Bw' Fw Rw2 Fw Dw' B2 3Rw B 3Rw2 Dw' Rw2 Bw' L R' 3Rw' Fw' Rw R' B2 U2 3Rw' U2 L 3Rw F' Dw Fw' D Fw L' R 3Fw' Fw' Dw D2 U Lw' D Bw' D' Bw Dw R B2 Fw D2 Fw2 B Uw2 3Fw2 R' Rw' Dw' Lw Fw' 3Uw B' Fw' 3Fw 3Uw' Lw2 3Rw' Fw' Dw D2 L' B' 3Fw 3Rw' 3Uw 3Fw R' Uw U 3Fw2 3Uw;2024-08-09 09:37:12;3:02.19
2;3:06.16;;3Uw' Rw Fw R Uw2 3Fw Rw' Fw2 R2 Fw Uw2 U2 3Uw2 Fw 3Fw Rw L2 U 3Fw Dw F' Lw2 3Uw Dw2 U2 3Fw' R2 B L' Fw' L D R' B' L2 D' 3Rw2 Dw2 Rw' Bw2 Lw' L B2 L' 3Fw Uw 3Fw2 Uw' Fw2 Bw' F2 U Dw' B' 3Rw2 D2 R Rw' 3Fw2 B2 Lw Bw U' L' Fw Lw2 3Rw Rw D2 3Uw2 L' U' F2 R' 3Fw' Rw2 R2 Fw' Rw' Fw;2024-08-09 09:41:30;3:06.16
3;2:57.65;;Fw F' R' Dw2 Bw Rw B D' B' D' Rw B' D2 Fw Bw' B Lw2 B Rw2 3Uw' 3Fw B' F Bw2 L' Uw2 3Rw' Dw B L Dw2 Uw F' Fw' Dw L Bw2 Uw' Rw' 3Fw2 Uw' Fw2 3Fw2 D2 Uw' U 3Uw L U2 3Fw 3Uw2 3Fw Dw2 Lw Rw2 3Rw' Dw' Lw' 3Uw' Lw Uw' 3Rw 3Fw Lw F2 R Rw' 3Uw R Rw 3Rw Fw' 3Fw2 B' R2 Rw 3Uw B Dw' Bw';2024-08-09 09:45:24;2:57.65
4;2:43.93;;Rw2 Dw' B F R' B' Rw' 3Fw' Fw2 3Rw2 L' Bw 3Fw2 Uw2 Rw' Fw' Dw2 Uw2 Rw2 L2 B' Uw2 R' D2 Dw Fw2 Bw2 L2 Dw Fw2 3Fw2 D2 F' 3Rw U Fw' 3Rw' B2 Bw2 3Fw2 R2 U B2 Dw Fw' Rw 3Rw' F' Dw B2 3Uw2 F R' Bw' D2 B2 Bw' Uw D 3Fw2 R' 3Fw Rw' F' Rw2 3Fw2 D' Lw' 3Rw 3Fw Fw2 Bw2 Dw2 F' Rw' 3Rw D2 Bw' Fw F;2024-08-09 15:03:10;2:43.93
5;2:34.18;;B2 R' F' Rw U 3Uw2 D 3Fw' Rw2 Fw Bw' F Uw' U2 3Fw' 3Rw2 3Fw 3Rw2 L2 R' Bw F U' Lw 3Fw Bw' Dw' B' D 3Fw' 3Uw U2 F2 Lw 3Rw D' U Fw2 Bw D2 Bw 3Fw' U D2 Bw' U' F Lw2 Uw Rw2 U' B2 3Uw 3Fw Uw2 3Rw' Rw Uw' 3Fw' 3Uw' Uw2 Rw Uw' 3Rw U' Fw Uw R 3Uw2 Lw' Dw' D 3Rw R2 F Rw 3Rw' Lw Bw B2;2024-08-09 15:06:54;2:34.18
6;2:29.42;;3Rw' D 3Uw' Uw L' 3Uw' Rw' B2 D' 3Rw2 Uw B2 3Rw2 Dw U L' F' Lw D2 Dw2 Fw R' Fw Rw R 3Fw' D Fw U' Dw2 F' L' 3Fw Bw' L2 Fw2 Bw L2 U2 3Uw' Fw' L D' Dw2 R Lw' U D Lw R' B2 L' Lw2 U R U' B F2 Lw' D U R2 Fw2 F2 L Bw2 D B' Bw 3Uw' Rw Bw2 B Rw2 L' Lw B Uw' 3Rw2 Lw';2024-08-09 15:10:25;2:29.42
