Date,Time,Action,Description,Location,Agency,Service Type,Product,Amount,Balance
May-20-2025,02:21 PM,Usage,Pass Use On Entry,University Transit Centre Bay A,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-18-2025,08:01 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-18-2025,07:50 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-18-2025,07:43 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-18-2025,07:21 PM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-18-2025,07:16 PM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-18-2025,06:54 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-18-2025,02:06 PM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-18-2025,01:58 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-18-2025,12:07 AM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-17-2025,11:57 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-17-2025,11:57 PM,Sales,Pass Missing Tap Fare,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,$0.00,
May-17-2025,11:15 PM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-17-2025,10:15 PM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-17-2025,09:54 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-17-2025,09:52 PM,Usage,Pass Use On Exit,University Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-17-2025,09:20 PM,Usage,Pass Use On Entry,West Edmonton Mall Transit Centre Bay C,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-17-2025,08:21 PM,Usage,Pass Use On Exit,West Edmonton Mall Transit Centre Bay A,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-17-2025,08:15 PM,Usage,Pass Use On Entry,178 Street & Stony Plain Road,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-17-2025,01:06 AM,Usage,Pass Use On Exit,122 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-17-2025,12:58 AM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-17-2025,12:57 AM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-17-2025,12:36 AM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-17-2025,12:20 AM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-16-2025,11:57 PM,Usage,Pass Use On Entry,Government Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-16-2025,10:12 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-16-2025,10:00 PM,Usage,Pass Use On Entry,St Georges Crescent & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-16-2025,03:14 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-16-2025,02:57 PM,Usage,Pass Use On Entry,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-16-2025,11:15 AM,Usage,Pass Use On Exit,Groat Road & Mayfair Golf Country Club,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-16-2025,11:11 AM,Usage,Pass Use On Entry,116 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-16-2025,11:09 AM,Usage,Pass Use On Exit,117 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-16-2025,11:02 AM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-15-2025,06:16 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-15-2025,05:58 PM,Usage,Pass Use On Entry,106 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-15-2025,05:36 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-15-2025,05:27 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-15-2025,08:43 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-15-2025,08:33 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-14-2025,11:37 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-14-2025,11:34 PM,Usage,Pass Use On Entry,122 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-14-2025,11:27 PM,Usage,Pass Use On Exit,122 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-14-2025,11:20 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-14-2025,11:14 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-14-2025,11:07 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-14-2025,10:44 AM,Usage,Pass Use On Exit,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-14-2025,10:41 AM,Usage,Pass Use On Entry,Westmount Transit Centre Bay D,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-13-2025,04:15 PM,Usage,Pass Use On Exit,142 Street & 101A Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-13-2025,04:05 PM,Usage,Pass Use On Entry,136 Street & 111 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-13-2025,02:40 PM,Usage,Pass Use On Exit,Westmount Transit Centre Bay E,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-13-2025,02:29 PM,Usage,Pass Use On Entry,114 Street & 87 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-13-2025,08:41 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-13-2025,08:31 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-13-2025,12:47 AM,Usage,Pass Use On Exit,142 Street & 101A Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-13-2025,12:36 AM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-13-2025,12:32 AM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-13-2025,12:09 AM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-12-2025,11:32 PM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-12-2025,11:13 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-12-2025,11:00 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-12-2025,10:46 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-12-2025,10:42 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-12-2025,10:32 PM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-12-2025,07:13 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-12-2025,06:59 PM,Usage,Pass Use On Entry,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-12-2025,05:02 PM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-12-2025,04:52 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-12-2025,02:46 PM,Usage,Pass Use On Exit,109 Street & 82 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-12-2025,02:39 PM,Usage,Pass Use On Entry,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-12-2025,11:14 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-12-2025,11:02 AM,Usage,Pass Use On Entry,Westmount Transit Centre Bay D,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-11-2025,06:52 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-11-2025,06:40 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-11-2025,06:30 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-11-2025,06:11 PM,Usage,Pass Use On Entry,Southgate Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-11-2025,05:28 PM,Usage,Pass Use On Exit,Southgate Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-11-2025,05:05 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-11-2025,12:37 PM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-11-2025,12:28 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-11-2025,12:25 AM,Usage,Pass Use On Exit,134 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-11-2025,12:21 AM,Usage,Pass Use On Entry,124 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-11-2025,12:21 AM,Sales,Pass Missing Tap Fare,124 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,$0.00,
May-11-2025,12:07 AM,Usage,Pass Use On Entry,112 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-11-2025,12:01 AM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-10-2025,11:42 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-10-2025,09:12 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-10-2025,09:05 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-10-2025,06:57 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-10-2025,06:45 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-10-2025,05:23 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-10-2025,05:07 PM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-10-2025,02:51 AM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,$0.00,
May-10-2025,01:13 AM,Usage,ABT Card Use Event,RSFS Default Location,Edmonton Transit Service,ETS Local,,,
May-10-2025,01:03 AM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-10-2025,12:58 AM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-10-2025,12:38 AM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-10-2025,12:31 AM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-10-2025,12:13 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-09-2025,10:18 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-09-2025,10:12 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-09-2025,10:11 PM,Usage,Pass Use On Exit,107 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-09-2025,09:59 PM,Usage,Pass Use On Entry,138 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-09-2025,02:51 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-09-2025,02:37 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-09-2025,02:33 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-09-2025,02:28 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-09-2025,12:54 PM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-09-2025,12:46 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-09-2025,12:19 AM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-09-2025,12:07 AM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-09-2025,12:00 AM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-08-2025,11:49 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-08-2025,08:24 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-08-2025,08:16 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-07-2025,08:54 PM,Usage,Pass Use On Exit,142 Street & 91 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-07-2025,08:49 PM,Usage,Pass Use On Entry,138 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-07-2025,08:24 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-07-2025,08:15 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-06-2025,07:17 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-06-2025,07:09 PM,Usage,Pass Use On Entry,116 Street & 87 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-06-2025,08:09 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-06-2025,07:59 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-05-2025,11:16 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-05-2025,11:06 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-05-2025,11:06 PM,Sales,Pass Missing Tap Fare,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,$0.00,
May-05-2025,10:59 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-05-2025,08:06 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-05-2025,08:01 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-05-2025,07:58 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-05-2025,07:47 PM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-05-2025,08:09 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-05-2025,07:59 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-04-2025,11:31 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-04-2025,11:21 PM,Usage,Pass Use On Entry,100 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-04-2025,11:21 PM,Sales,Pass Missing Tap Fare,100 Street & Jasper Avenue,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,$0.00,
May-04-2025,11:18 PM,Usage,Pass Use On Entry,Central Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-04-2025,10:48 PM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-04-2025,10:31 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-04-2025,10:11 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-04-2025,09:55 PM,Usage,Pass Use On Entry,Southgate Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-04-2025,09:05 PM,Usage,Pass Use On Exit,Southgate Transit Centre Bay N,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-04-2025,08:34 PM,Usage,Pass Use On Entry,107 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-04-2025,08:31 PM,Usage,Pass Use On Exit,107 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-04-2025,08:18 PM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-02-2025,10:57 AM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-02-2025,10:49 AM,Usage,Pass Use On Entry,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-02-2025,10:13 AM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-02-2025,10:01 AM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-01-2025,12:48 PM,Usage,Pass Use On Exit,Groat Road & Mayfair Golf Country Club,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-01-2025,12:44 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-01-2025,11:07 AM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-01-2025,10:55 AM,Usage,Pass Use On Entry,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-01-2025,10:53 AM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
