Date,Time,Action,Description,Location,Agency,Service Type,Product,Amount,Balance
May-24-2025,11:53 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-24-2025,11:36 PM,Usage,Pass Use On Entry,106 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-24-2025,07:51 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,$0.00,
May-24-2025,06:03 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-24-2025,06:01 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-24-2025,05:50 PM,Usage,Pass Use On Entry,Wellington Crescent & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-24-2025,12:43 AM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-24-2025,12:33 AM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-24-2025,12:29 AM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-24-2025,12:05 AM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-24-2025,12:02 AM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-23-2025,10:45 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-23-2025,10:43 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-23-2025,10:33 PM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-22-2025,08:40 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-22-2025,08:30 PM,Usage,Pass Use On Entry,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-22-2025,06:20 PM,Usage,Pass Use On Exit,117 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-22-2025,06:12 PM,Usage,Pass Use On Entry,138 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-22-2025,04:32 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,$0.00,
May-22-2025,02:42 PM,Usage,Pass Use On Entry,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-22-2025,08:41 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-22-2025,08:32 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-21-2025,02:38 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-21-2025,02:33 PM,Usage,Pass Use On Entry,Groat Road & Emily Murphy Park Road,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-21-2025,12:47 PM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-21-2025,12:37 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-21-2025,01:42 AM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,$0.00,
May-20-2025,11:54 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-20-2025,10:17 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-20-2025,10:04 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
May-20-2025,10:04 PM,Sales,Pass Missing Tap Fare,University Station,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,$0.00,
May-20-2025,09:42 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
May-20-2025,02:36 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
