Date,Time,Action,Description,Location,Agency,Service Type,Product,Amount,Balance
Aug-09-2024,03:13 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Aug-09-2024,02:56 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Aug-09-2024,09:50 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Aug-09-2024,09:34 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Aug-09-2024,08:11 AM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,$0.00,
