No.;Time;Comment;Scramble;Date;P.1
36;2:50.621;;Lw Bw R2 Uw2 Lw2 Bw B' Uw2 B' Uw' R Rw2 D2 Fw D2 F2 D' Bw B2 3Uw Rw' L 3Uw' Rw2 3Fw' Dw2 B2 Bw' Lw L' 3Rw' U' D2 Fw' Dw B2 Lw2 Rw2 Fw B2 3Fw' D' Rw2 Lw2 F' Fw' Uw2 L 3Uw' 3Fw' Bw' Lw2 Dw' B' 3Fw' F2 Dw2 Lw2 Bw2 U2 3Uw R2 Lw Uw' U F2 3Fw Fw' Bw' L2 D Uw2 L2 B Uw2 B2 F2 3Fw2 Rw2 3Rw;2024-08-03 20:23:45;2:50.621
37;2:47.349;;Dw' D' F' Uw2 3Uw Fw' D Bw' Dw2 Bw' R D B2 3Rw' B D2 3Uw U F' Rw' F L Lw2 Rw Dw2 R' D L' 3Fw' Rw F2 Uw' 3Uw Rw Lw2 D' Bw' Uw2 D2 Bw' Dw 3Fw' Dw' Rw2 D2 3Rw' Dw2 U2 R Bw' R Rw2 B 3Uw2 Lw U 3Fw' D2 Bw' Rw' U' F2 Dw D2 U2 Lw2 Uw' 3Uw' Rw' U' R' Lw U Dw' F2 Dw' Uw2 3Rw' 3Uw 3Rw;2024-08-03 20:27:33;2:47.349
38;2:50.901;;F 3Fw' B' Bw2 Lw Uw R Dw2 R2 D Bw' Uw Fw Bw2 Lw U' F2 B2 3Uw' Bw 3Fw Fw' F2 3Rw L Rw2 B' 3Rw Uw2 U R2 L2 Rw' 3Rw' B' Lw2 B D Uw' Bw L' Lw Rw2 Dw' Fw Bw2 L' Bw' 3Fw' L Dw Uw2 3Fw' D' Fw' F 3Fw2 Dw' U2 Bw' Uw2 Dw' D' U' R2 Dw2 D' Uw2 R2 D2 Dw2 Bw2 3Fw 3Rw D 3Rw2 R2 F2 D' 3Rw2;2024-08-03 20:32:48;2:50.901
39;2:28.585;;Bw' 3Uw' R' B2 U2 Uw' D 3Fw Rw2 D Fw' D 3Rw Lw' Rw2 3Uw' 3Rw' 3Fw B2 Dw2 Lw2 Bw' Rw 3Rw2 Uw' R' U' F' U' Rw' Uw 3Fw Bw F' L2 Fw2 Uw Bw2 U2 Uw2 Fw' R' Rw' 3Uw R' U' Dw' 3Rw D2 Dw2 L U R2 L2 3Rw2 3Uw R' D 3Rw2 F' Rw Lw' U2 F R D R' D' 3Fw' Dw2 Lw Fw' R F U' Uw' Lw Rw' B 3Uw';2024-08-03 20:37:09;2:28.585
40;2:38.206;;Bw D Dw2 Lw2 B2 D2 R D' Bw' Rw U 3Rw2 Uw' 3Fw2 Bw' Rw2 R B' 3Uw' Uw2 F 3Rw Lw' L' Bw' Lw' U2 Fw' F Dw2 B' Uw2 Fw F' Bw' Uw2 F2 D2 Rw 3Uw 3Fw Bw' U Rw2 3Uw2 B' U Uw' 3Fw2 Fw U Fw2 L Dw2 Lw F L' D2 Rw Bw2 3Fw' D' 3Fw' U Bw' 3Uw2 L2 Uw' 3Rw2 Bw2 Lw2 D' Lw' 3Rw' 3Uw' F Rw' F' Dw 3Rw2;2024-08-03 20:42:12;2:38.206
41;2:32.849;;R' Uw2 Dw 3Fw2 F Bw D2 Lw 3Fw 3Uw' Bw Lw L2 U Fw2 R Fw L 3Fw2 F2 Uw2 Bw' Lw' L 3Rw' B' U 3Rw' Rw2 Dw' 3Rw' D 3Fw2 D' Fw2 Dw' Uw2 Rw' 3Uw R2 Fw2 B2 Dw' 3Fw' U2 Rw' R 3Rw' D' Fw2 Dw' Bw' F2 Lw B Fw2 3Uw Uw R Dw L2 Lw Rw2 R Dw L2 Lw 3Uw2 Fw' Dw2 B Rw R' Bw2 L2 Rw2 3Fw' Uw R2 U';2024-08-03 21:31:49;2:32.849
42;3:03.679;;R Dw' Lw2 Bw D2 B' L Lw' Fw2 3Uw2 D Fw2 Dw 3Uw Fw' Uw B2 L D' Fw Bw2 3Uw2 3Fw2 L' U' 3Uw2 Lw' 3Fw2 U2 Uw D L2 Lw R D2 Bw2 Fw' Dw D' 3Rw' Uw' D' 3Uw2 F' 3Fw' 3Rw2 F' Rw2 Uw2 L2 Lw2 D R2 D' Lw' L' Bw Rw Bw2 3Fw 3Rw' Bw' R' Uw Lw 3Uw L B' R2 Bw2 Dw2 3Rw' L2 F2 L' 3Uw 3Fw F' 3Rw' Fw';2024-08-03 21:36:02;3:03.679
43;3:23.362;;F' Rw B Fw L D F' D B' Bw Uw B Lw' Bw' F2 3Fw Fw' D Lw' 3Fw' L2 U Uw2 L 3Fw2 D F2 Dw' 3Uw' Bw Rw' D' F' Rw2 3Rw2 Fw' F' Rw' Uw 3Fw2 L Dw' B' F2 Dw' F2 Bw' Lw U2 L' Bw Lw B' 3Fw Fw' F2 Bw U2 Fw2 Rw' F B' Lw2 B' Lw2 R2 Dw' R D' B2 L2 R 3Uw' B' D L2 R B' Lw' Uw;2024-08-03 21:40:28;3:23.362
44;2:22.158;;3Rw Bw2 Lw2 3Uw' D2 Lw2 Rw' Fw D2 B 3Fw2 F U 3Uw' R Uw' 3Uw Dw' R B2 3Uw2 Bw Fw' Rw2 F Uw Fw2 U Rw2 3Uw2 L2 Lw2 F2 R2 3Rw2 Lw2 Uw' F2 Uw U Bw2 F B' Fw2 3Uw' D2 Bw' D2 U' Dw Rw R' 3Fw R' Uw2 U' Bw' R' Bw2 B2 U' 3Fw2 Uw2 Dw 3Fw2 Fw Lw' U' 3Uw D2 Bw F' U 3Fw2 Uw U Rw D' L F;2024-08-03 21:44:59;2:22.158
45;2:25.519;;R' Uw 3Fw Bw Fw2 R2 L' B' F 3Uw F R2 3Uw 3Fw Fw2 Uw' R' L' Bw D' 3Uw Lw D' 3Uw' Dw Uw R' B2 3Uw 3Fw2 F Uw Rw D' Lw Uw2 R' 3Rw2 U' 3Uw D2 Uw2 F Uw F Lw F2 R B2 R' Fw Lw' 3Rw Dw' L 3Rw' Rw' Uw2 D Bw 3Uw' Dw' Fw L' D2 R' Lw' 3Uw2 Uw' Bw Uw R2 U 3Rw B' Uw 3Rw Bw2 L' Uw2;2024-08-03 21:48:32;2:25.519
46;2:39.178;;3Uw2 3Rw' Rw2 B' 3Rw2 Bw' 3Rw L2 Lw' D Uw2 3Uw Rw' Lw2 Bw' 3Rw Uw' U 3Fw' L2 Fw2 B2 3Fw2 Bw' U R2 Fw Lw 3Rw' Dw2 Bw D' U' 3Uw' Uw' L F' R' L' D2 3Fw Bw Dw2 Uw' 3Uw2 3Rw2 Bw' 3Rw' R 3Uw' Dw 3Fw' F2 U L' U' Bw2 Lw' Bw2 Uw L' Bw' D L R2 Rw' Dw' R' D Rw D' Bw' 3Rw' Dw2 3Rw2 F2 3Rw L2 U2 3Rw;2024-08-03 21:52:00;2:39.178
47;2:52.803;;Fw2 Dw2 B 3Uw Fw 3Rw Uw2 L2 U2 Dw' D R' L' Fw 3Uw2 Uw D Rw2 Lw2 3Rw' F' Dw2 3Uw F Lw2 B2 Bw Lw' R Dw' Uw' Rw2 Uw B2 Uw' 3Fw' F L2 Uw2 L Fw R' Fw 3Uw2 R 3Rw Uw 3Rw' F2 R2 U L' Fw' 3Uw U2 Fw' Lw 3Rw' F' 3Fw' Dw U2 L' 3Rw' 3Uw' L 3Uw L2 Fw2 3Fw' Uw2 Bw 3Uw2 3Fw2 Lw' Bw2 Rw' Fw 3Uw F;2024-08-04 20:29:53;2:52.803
48;2:54.927;;Lw R2 Rw2 B2 3Fw' L Rw2 D F2 Bw D' 3Uw L2 F R 3Fw2 3Rw' R U' L2 F2 3Fw R 3Fw2 Bw B2 R F 3Rw2 Dw Bw R2 Lw2 3Rw' Fw' Rw2 Lw2 Dw2 3Rw' Dw' Bw2 B2 3Rw Fw' Bw2 Rw F Uw D 3Fw' L Uw Rw L' 3Rw 3Fw2 Lw B' Uw' Fw' Bw' 3Uw R' L2 3Fw 3Uw D Lw Rw' Fw2 Uw' Fw2 F' L' Dw2 Lw2 Rw2 U Rw L';2024-08-04 20:33:41;2:54.927
49;2:57.561;;L Bw2 Uw2 L Rw2 Uw' Rw Uw2 Dw' F' U Lw' Dw2 Rw R F Bw2 3Fw Lw2 U R' D' R 3Rw' D2 F' 3Uw2 Uw' Bw2 Uw2 U' Fw2 Dw2 Bw2 L2 Uw Rw2 3Rw2 U' R2 Rw2 B Dw' L' 3Rw Uw2 Lw2 Uw2 L' Dw' U' Lw' R2 L' Fw Uw2 Rw' R Uw2 Fw 3Rw' Fw2 Bw2 L' Dw Rw' F' 3Rw' F B2 R' Bw' Fw' U Bw B2 3Rw L F 3Fw';2024-08-04 20:37:38;2:57.561
50;3:18.043;;R2 U' 3Uw2 3Rw Dw2 Lw Uw2 Rw' Uw' Bw2 Fw' Uw2 Bw' D2 Bw' U2 F' D L' Dw' D' 3Uw' F2 Lw' R2 D2 3Uw2 F2 3Uw' Dw D Rw 3Rw' U2 3Rw D2 B2 F2 3Rw' 3Fw 3Rw' F' B' R 3Uw' Rw2 D 3Rw2 Bw' Lw2 D2 Bw' F 3Rw 3Uw R2 Bw2 U Fw2 L Bw' Rw F Uw2 F2 Lw U2 F' Fw Bw Dw' Bw' 3Fw2 U' B2 Dw2 Bw Uw' U2 Fw2;2024-08-04 21:31:37;3:18.043
51;2:44.038;;B U2 Rw2 B2 3Rw Bw2 3Rw' L R2 U 3Fw' L Bw2 D 3Uw' F Rw 3Fw' B Uw2 R2 3Rw D2 Lw' D2 3Rw' Fw Dw2 U' F2 L' F' Uw Bw' D2 L Fw Dw2 L 3Fw2 Uw2 Rw' F2 Uw2 Lw R' Dw2 3Fw Rw' Dw' F2 Dw' R' L' Uw F2 3Uw' B' Fw2 Bw U' Rw' Dw 3Uw' U2 Lw D 3Fw' D' L2 D2 L2 3Uw2 U2 Dw' 3Fw' F' D2 U R';2024-08-04 21:36:25;2:44.038
52;2:48.444;;Lw' Dw 3Fw' F2 3Uw2 D2 3Rw' L R U D' B2 Fw2 D' Dw2 Uw' F2 Uw2 Rw Bw 3Fw Uw' Lw 3Rw' D2 Uw' 3Fw' 3Uw Uw' U' Dw R Fw Bw Rw2 F2 Rw2 U' F 3Rw' R' B2 D2 Bw2 Dw B Fw Dw' F 3Fw2 3Uw F 3Uw2 3Fw2 Fw' F' L' D' Dw2 Bw' Uw L2 Dw2 R B2 Fw F2 Dw2 Uw2 D' B2 Bw' L 3Fw2 Dw2 Lw U' L2 Bw' Dw';2024-08-04 21:41:19;2:48.444
53;2:48.066;;3Fw2 Bw2 Lw' 3Fw U Bw2 D' F2 Lw Rw' 3Fw2 B U' R' Dw2 3Uw2 Rw' U Rw' Dw2 Uw' D' Fw R Rw Bw2 B Fw2 3Fw' Uw 3Rw' B' Uw 3Uw' U2 F Dw' U2 B2 L F Uw' 3Uw2 Fw R2 B2 F' 3Uw 3Rw Fw R L' D' B Uw D F' R2 F L2 Bw2 F' 3Uw2 Fw' Lw Uw' Rw' B2 3Rw' 3Fw Lw F2 3Fw2 L2 Fw' B D2 Lw' Dw Rw';2024-08-04 21:50:05;2:48.066
54;2:57.012;;Fw B2 U' F' L2 Bw' U' B2 3Fw U2 B Lw' 3Rw Fw' 3Fw2 B' F' Rw D2 Rw' 3Fw' Dw' 3Rw 3Fw 3Uw Rw' 3Rw2 Lw R2 Fw' B' 3Uw 3Fw' U' Bw2 3Uw2 Bw' Dw' R Uw2 3Rw Dw' Fw2 D2 3Uw2 F B' 3Uw' Rw' 3Rw Lw' Uw' F' Dw' Fw Uw' U2 Rw' Uw' R' D2 Rw Uw2 Lw' L' Rw2 B2 Dw 3Uw Bw R' 3Fw' 3Uw 3Rw Uw' Rw2 Lw2 3Rw Bw2 Fw2;2024-08-04 22:06:21;2:57.012
55;3:00.704;;U2 3Uw2 B D2 Bw2 3Uw' B2 3Uw' D Fw2 L F2 3Rw2 D 3Rw2 Lw' 3Fw 3Uw2 D Uw' Dw Fw' 3Rw U' Rw' L' 3Fw' L Dw' Rw2 Dw' L' F L' U B 3Fw2 U2 Lw 3Fw2 L' F2 Bw' 3Rw2 F Lw' Rw Dw B Fw' D B 3Uw L' R' Lw2 D' R Lw' 3Uw Bw' Dw Fw Rw2 D2 3Rw Dw2 L 3Uw2 L' Rw U' L' Rw' Fw' Dw2 F2 3Rw2 L' Fw;2024-08-04 22:10:20;3:00.704
56;2:32.692;;R2 F2 B Fw2 U Uw' B2 3Rw B 3Rw' 3Uw' Dw' Fw D2 3Uw' Dw2 F2 Uw2 B2 Uw Lw2 F2 L F Fw2 Uw 3Fw2 U' Bw' 3Uw' 3Rw D L2 B R2 Dw2 3Uw2 B Rw D2 L2 F' Dw2 L Uw' Bw F' Fw' Uw' B' L' F Lw Fw' L' R2 Dw U' 3Rw2 Bw' Lw2 F2 Dw' U2 B L2 U' Uw2 Fw2 Dw L' Dw Fw' 3Rw' B' Uw D 3Rw2 3Fw' 3Rw';2024-08-04 22:16:03;2:32.692
57;2:56.795;;D 3Fw B 3Uw2 U' 3Rw Fw 3Rw' U2 R2 Rw2 L 3Rw' F' 3Uw Rw Lw2 Fw2 3Fw2 Rw Fw' Bw2 3Fw' 3Uw Uw' Lw2 R2 Dw' L2 3Rw B2 L2 3Uw' F' Bw D2 Rw2 B2 Dw 3Fw' Fw2 Lw 3Rw 3Fw' R F' L B' Rw U2 Dw R' 3Rw Lw2 3Fw2 U' Uw2 Lw2 U' 3Uw2 Lw' D Fw2 F2 3Rw2 B2 3Fw' Bw' Lw2 Fw2 D2 Rw' L U F2 B2 R U2 3Uw2 F2;2024-08-04 22:19:38;2:56.795
58;2:58.924;;3Uw2 Fw' 3Fw' 3Uw R' Bw' Dw R2 3Uw' B L2 3Fw' F2 L' 3Rw2 Lw B 3Uw2 3Fw2 F' Lw 3Rw' R 3Fw' Dw D2 3Uw' B' Bw' 3Uw' F' Fw L U L2 Uw B Bw2 L2 Lw 3Fw2 U2 R2 Bw2 R' Fw2 3Rw' Uw Rw' U Rw2 D R' U2 F2 Uw2 B Uw Fw' 3Uw2 3Fw' U2 B' Lw Bw R U2 Bw2 3Rw2 Dw D Lw 3Fw2 3Rw Fw2 B2 3Uw' Rw2 Bw2 3Rw';2024-08-04 22:25:06;2:58.924
59;2:40.972;;Lw' 3Uw2 3Fw' Fw' R Dw' F2 D B' 3Fw' Lw' Rw D' 3Uw' R2 3Rw Rw' Dw' 3Rw2 3Fw Rw Lw2 F Lw' U L U 3Uw 3Rw Bw2 L' B Uw2 U' Fw' 3Fw 3Uw F Bw Uw 3Rw Dw' D2 L2 3Uw' Dw' Lw2 U' 3Uw' 3Rw2 L Bw2 D Dw2 Bw' Lw F2 D Uw2 3Uw' 3Rw' R2 Lw2 F Rw2 Lw' 3Fw2 U B2 3Uw 3Rw2 R' 3Fw Uw2 R 3Uw' Lw R U' 3Rw';2024-08-04 22:29:07;2:40.972
60;3:10.362;;Rw2 Dw Bw2 Fw Rw2 Bw' Uw2 Rw' R2 Lw2 3Fw U Fw2 Dw U' R Fw 3Uw2 Bw' R F2 B2 3Uw D2 Lw B F' Rw2 Lw2 Bw Uw Fw R 3Fw2 D B Fw' Uw D L' Fw2 Lw Bw' Rw' Lw2 3Fw L Lw2 Bw2 L B F2 3Rw L2 Lw' R' 3Fw U' 3Rw2 Fw' Uw Bw2 3Rw' Lw L2 R 3Fw2 3Uw' U 3Fw Rw' B2 D B2 F' 3Fw' 3Rw Bw' Dw2 3Rw;2024-08-04 22:35:38;3:10.362
61;2:38.174;;D2 Rw' L' F2 3Rw2 U' 3Uw Dw' Lw2 3Fw 3Rw' Fw Rw' Lw' F2 3Rw2 D U Rw' R Lw2 L Bw2 Dw' 3Fw2 L2 Bw' U2 R Dw2 D Uw' R' U' Rw' Dw F' R' Rw' Lw 3Rw2 Uw 3Rw2 D2 B2 R' Lw' U' B2 D2 Fw Dw' R' 3Uw' U Bw' L2 B' Lw Rw U' F2 Fw L2 R' Fw R' U' 3Fw2 F2 Bw2 U Rw' L' Fw2 D' R2 U' Bw2 D2;2024-08-04 22:39:33;2:38.174
62;2:35.610;;Lw Uw2 Rw L' Lw' 3Uw2 D Fw' Bw2 Rw' Bw B2 3Rw' Dw2 U' Bw Rw' Fw2 U' 3Fw2 U2 R' D F 3Fw L B2 3Uw2 Dw2 F' 3Uw Uw2 Bw Uw2 Fw' Uw Lw' U' F Dw2 Fw Rw 3Uw' Dw2 B R2 F2 3Rw' Fw2 D U' Fw2 F2 L' Lw2 Dw2 3Fw' Lw2 Rw' Bw' 3Uw' R' Bw' R' Uw Fw R2 Rw L 3Fw2 R2 3Uw L' Fw2 L D2 3Rw2 U 3Uw2 Dw';2024-08-04 22:43:26;2:35.610
63;2:56.950;;Lw Dw2 3Uw U2 B' Rw' Uw' Rw B' 3Uw L 3Uw2 F' Uw2 B' 3Uw' F2 B D' 3Uw2 Fw' Bw R2 Uw F' U D' B Lw 3Uw Uw' B' Fw Bw L2 Fw2 3Rw Dw2 Fw F' R Uw' L2 3Uw Bw2 Rw 3Uw' Rw' 3Rw' Dw' Lw R2 Bw 3Uw' L' 3Uw' B' Uw2 B' F U2 3Rw' Uw 3Rw2 Bw2 U2 B2 Lw' U' Lw D' F2 Fw Dw2 F2 Rw 3Uw Lw2 Dw2 Uw';2024-08-04 22:47:52;2:56.950
64;2:32.343;;3Rw2 D 3Uw2 3Fw' Lw' D R2 Lw2 L' Bw F' Fw2 U' 3Rw' Fw' 3Rw Bw L2 F' 3Uw 3Fw' 3Uw2 F Lw Rw Uw F R2 3Uw2 Bw' B2 F2 3Fw 3Rw Fw U2 3Rw2 Bw2 Rw' Bw2 U Fw2 F2 Bw Dw' 3Uw U' Fw U2 3Fw2 B2 D B D' B D' 3Rw2 D Bw' 3Rw' Lw Dw' U Rw F Lw' U' D2 Bw2 3Uw' 3Rw' Uw2 3Fw Bw 3Rw R L Lw2 Dw' Fw';2024-08-04 22:51:48;2:32.343
65;2:47.051;;D2 L' 3Fw' R' Fw' 3Uw Rw2 3Uw2 Bw 3Uw' F2 B' U 3Uw' D' L' B Uw2 Lw2 B' Uw B2 3Rw2 R' Lw2 B Rw2 Bw' Dw' Uw' Lw F D2 Uw 3Uw' Rw 3Rw' Fw2 Dw D2 Rw2 3Uw' U2 Fw2 Dw2 R Bw' 3Uw' Uw Bw2 3Rw' 3Fw2 3Uw2 F' L2 Lw Dw2 F2 3Fw2 R' Uw Rw2 3Uw Dw 3Rw' Bw Dw U' Fw U' Uw' Bw' U B2 L Fw' L Bw' Lw Bw';2024-08-04 22:55:29;2:47.051
66;3:06.394;;3Uw2 Uw B' Uw2 Bw' Rw' Lw' 3Uw2 R2 Dw2 Uw2 Lw F D2 F2 Dw' 3Uw Uw Bw2 U' F' 3Fw2 Bw2 D Bw2 3Uw 3Fw2 Lw2 3Rw2 U' R2 3Fw Bw2 Dw Lw' 3Fw U2 3Fw2 3Uw U2 3Rw2 U2 3Rw R D Lw' U D' Fw Dw2 3Uw2 Lw' Bw2 D2 U2 Uw' 3Rw 3Fw2 3Rw L2 3Fw Rw2 F' L2 Dw' 3Fw2 Fw2 Uw' Bw2 B2 Rw' F' R Dw' U F U2 3Fw L' Uw2;2024-08-04 22:59:17;3:06.394
67;2:41.241;;R F Rw' U2 L' 3Fw2 U Rw' Fw D B' Dw 3Fw Dw Rw' Fw R' B' L' Dw Uw Fw2 L2 D Bw' Dw2 Rw 3Uw F2 3Rw2 L' Bw' B' Rw' F 3Uw2 B2 Lw' D U 3Fw' L' Dw' D2 3Rw R Bw L' Lw 3Rw' Bw D2 3Fw2 F D Bw 3Uw2 L Dw' Rw R U Bw' 3Fw' 3Rw' Bw 3Fw' 3Uw Fw R2 Fw B' Lw' Dw Uw2 Rw' R2 Uw2 Dw2 B;2024-08-04 23:03:32;2:41.241
68;2:42.591;;R B' L' Rw2 D Fw Lw Uw2 B' F' 3Fw' Rw2 B' R2 Uw2 F2 Fw' Bw2 Rw' 3Uw' B L' Lw' B F Dw B U' Lw2 R 3Rw' F2 3Rw' Uw2 L 3Uw' L' 3Uw2 R' Dw F' Fw2 3Rw Lw Uw' 3Rw 3Uw' Uw' L2 B' 3Rw' Lw 3Uw2 D2 L' R2 Dw2 Uw2 3Uw' U' D2 F Bw' Lw Dw R' B' 3Uw' Bw' U 3Uw2 B' U2 B2 3Rw2 Dw' 3Rw' Rw' 3Fw' R2;2024-08-04 23:07:18;2:42.591
69;3:17.119;;R2 Lw2 3Fw2 F 3Rw' Fw Dw2 B' L2 3Uw' 3Fw2 D' 3Fw2 L Rw R2 U 3Fw2 3Rw B 3Rw2 L D' L' 3Rw' 3Fw' Fw' R2 Dw Bw' D2 L2 3Fw' R' 3Fw' Rw2 Bw' Dw2 3Uw' Lw2 Uw' L' Lw2 U' Uw2 3Rw2 F' B Dw Fw' 3Rw' Rw2 U2 L U' 3Rw L' Fw' Uw' F L' Uw 3Uw2 B2 Dw2 F2 L2 R 3Rw Dw Fw R U B2 D 3Rw2 Fw Lw 3Uw' R;2024-08-04 23:10:57;3:17.119
70;2:43.476;;L R' Lw2 F2 R F' Rw' U Lw2 3Uw' D2 F2 Uw' U2 3Uw' F' U2 D2 3Uw' F2 3Fw D' Bw2 F Uw2 L' Uw Lw' 3Fw Dw' R' Uw' Bw2 Dw' Bw Fw Uw 3Rw Rw Lw U 3Uw R2 U2 L F Rw Fw' R Rw Bw L2 3Uw F 3Rw D2 F' 3Fw B R' Fw2 Lw Fw2 R' D' R2 Dw R' L2 Lw 3Rw' Dw2 3Fw' F D2 3Rw R2 L2 Uw2 Rw';2024-08-04 23:15:28;2:43.476
71;2:46.567;;Bw Dw' R B' R U2 Uw Lw2 Dw' 3Uw' Lw' Bw2 Lw 3Rw2 Rw2 Uw2 Fw' F2 Dw2 U' L2 3Rw2 Bw2 Fw' 3Uw' R B Dw2 B2 Dw2 3Fw 3Uw Lw U 3Fw2 D2 3Rw2 U Rw B2 Uw' R' Bw' Lw2 3Fw Uw2 L' Rw2 Dw R' Rw2 Bw2 R' 3Rw2 Fw D' F' Fw2 3Uw D Bw2 Rw' 3Fw2 B' Uw Lw2 Rw2 F2 U 3Fw2 B' F' Rw U Lw' F2 D Bw' Uw B2;2024-08-04 23:19:23;2:46.567
72;3:02.108;;R2 Bw F' D2 Rw2 3Rw' R Bw2 L 3Rw R2 3Fw2 3Uw' Fw' 3Fw' L2 F2 3Rw' Bw2 Rw U2 Lw2 3Fw F2 3Rw2 L2 Uw2 3Fw F2 Uw B' F' D' Dw2 B' U2 3Uw2 3Rw2 3Uw' U Uw2 Dw2 3Rw' R2 Rw' Fw2 B' F' 3Uw2 3Fw Rw' B' U' Rw2 3Fw2 U 3Rw' 3Fw' Uw' 3Rw Fw' R Uw2 U' Bw2 Dw2 Lw2 3Rw Bw B R2 3Fw' R' 3Uw Lw2 Uw' D' Dw2 Bw 3Fw;2024-08-05 22:56:14;3:02.108
73;3:04.226;;R2 Dw2 Fw2 Rw 3Fw U' R2 U2 Rw2 3Uw' Bw2 3Rw B2 L 3Uw Fw' B U2 R2 3Rw2 L' Dw' Bw' R Rw2 F' L Uw2 D 3Rw B' Fw Bw Uw 3Uw' F2 Lw R' Uw U' 3Uw' Bw2 Lw' R2 Bw2 3Fw Dw' Fw' D' L Fw Dw B 3Uw2 Lw2 Fw' 3Fw F' L' Rw U2 Fw Uw U Lw2 Fw2 D L2 R2 3Rw 3Fw' Lw' D Dw Bw2 3Uw' F' Fw Dw2 3Rw;2024-08-05 23:00:30;3:04.226
74;3:24.377;;D2 Bw D2 R2 L' Bw' R2 Uw' B 3Fw' 3Rw Bw F U' R Uw 3Fw U2 R2 Dw L2 Uw' Dw' 3Fw' Dw2 F2 R2 Dw' Uw2 R F' D2 Rw2 Uw2 Fw Lw Uw2 3Rw' U' B Lw' 3Fw 3Rw' D2 L2 D2 Uw Dw' B2 Lw 3Uw2 B Dw2 L' Lw' Uw' Dw L B2 3Rw 3Fw' F Lw Fw 3Uw' Bw R2 Dw Fw 3Rw F' Dw' R B' U2 Rw2 3Uw' Fw' Lw2 D';2024-08-05 23:06:13;3:24.377
75;2:35.890;;R' F2 3Rw' 3Fw2 U' Bw2 Uw2 B' Rw2 3Rw U B Lw L' F' U R' F Bw 3Rw' B' 3Fw' 3Rw' 3Uw2 Fw' F2 Lw D2 3Fw Fw Bw' 3Uw2 Uw Bw F R Lw2 3Rw2 F 3Fw' Uw' R' Rw Lw2 3Rw2 D2 R' U' 3Uw2 F 3Uw' R2 3Rw2 Dw' 3Rw' 3Uw' Lw Bw' 3Uw' F' Lw2 3Uw' Dw Uw Bw Dw D2 F' L2 Uw D Fw' B2 Uw2 F' Fw 3Rw' Uw' B 3Uw;2024-08-05 23:10:45;2:35.890
76;2:35.379;;Fw' Lw Dw2 R' Rw' Dw2 D' U' Rw F Bw2 3Fw2 B2 L' 3Fw' 3Rw Dw' 3Fw R F Uw' 3Rw' Lw2 F2 R B 3Rw' Fw' F' Uw2 L2 B2 3Fw' Bw2 R2 Bw2 Fw' Uw2 Dw2 Lw 3Fw' Dw D' 3Uw' F' Bw' D' Dw' Bw' R B2 D Fw' L2 3Uw Rw' Fw2 F2 L 3Rw' Uw' R' Lw D' B2 R L 3Rw' Lw2 D' 3Fw2 Rw2 U Uw2 F2 Rw 3Uw2 Fw' B' U';2024-08-05 23:15:05;2:35.379
77;3:08.746;;Bw Lw R' Uw' B' F' 3Rw U2 3Rw' Rw2 U2 D L' Bw' Uw U F2 U2 3Rw2 Lw 3Uw2 Lw Bw' 3Fw2 U' L Lw' U' Bw' L' Uw2 B2 3Fw2 R2 Rw Uw' 3Rw B2 L2 Fw2 Bw' Dw2 F2 3Rw' L' Lw Bw2 Fw B2 L' 3Fw2 3Rw2 Dw 3Rw 3Fw' 3Uw2 F' 3Fw' Bw Dw' U2 Uw' 3Rw2 Lw Uw' Dw2 R B2 Uw' D2 F U R' U' B2 Bw2 Uw 3Rw2 U D2;2024-08-05 23:18:54;3:08.746
78;2:28.530;;3Uw Fw' 3Rw2 R2 U Dw2 Rw U D' F U2 L2 B' 3Rw B' D' Lw L2 3Fw' R' 3Fw' R2 D B' 3Rw2 F2 Fw' B2 Dw' Uw Lw' 3Fw Fw U' D2 F2 U' Fw Dw2 3Fw F' 3Uw' F2 L2 U2 3Fw' B' Fw Lw Rw2 Uw Bw' U2 Dw2 Fw' U D Fw2 Bw2 B' F2 Dw U' 3Uw' 3Rw2 3Uw' 3Fw' Dw Rw2 L' 3Uw L' D Rw2 Fw2 Dw' D 3Fw Uw' 3Fw2;2024-08-05 23:23:07;2:28.530
79;2:45.986;;Rw2 3Uw' R' Rw' F 3Rw2 F2 3Uw2 F2 Lw2 R2 Fw Uw' Rw' 3Fw' L' U2 Uw2 D' 3Uw' Rw2 Fw' Dw' B 3Fw Rw Fw2 Lw' 3Uw' Lw2 D2 U' Lw' 3Uw L 3Fw' Uw2 U2 Dw' Fw R' 3Uw Fw2 F R' F' Fw2 D2 3Fw R 3Rw Uw' 3Uw2 Fw2 L2 3Uw Dw' F2 Bw' Dw2 Uw D' Rw B2 3Rw 3Uw B2 Bw F Uw 3Fw' 3Rw2 D2 U2 B' Rw' Lw Uw 3Rw L;2024-08-05 23:26:36;2:45.986
80;2:48.961;;Fw Uw' Fw' Lw2 U' Dw D' 3Fw Fw Lw' B2 Uw2 Fw2 L2 3Uw' B2 Lw2 B2 U' Dw Uw' Lw' U2 L2 F' Dw2 Lw Bw Rw Dw' L2 3Rw Dw U2 3Fw2 D2 Fw2 Uw' 3Uw2 3Rw2 B2 Fw2 U2 3Rw' Lw' Bw R Rw' B Uw' D' F Bw2 3Rw Dw2 R' Fw B D2 U' Fw' Uw' F' 3Rw' B' Dw' F' 3Fw2 D2 L Lw2 3Uw L B2 R B2 F2 Lw' B' U';2024-08-05 23:31:09;2:48.961
