No.;Time;Comment;Scramble;Date;P.1
1;2:57.158;;Uw2 Bw' D' 3Fw2 Fw2 Uw2 L Rw B2 R Fw' D Bw2 Dw2 R2 D2 3Rw2 F' Fw 3Uw2 U B' Lw F2 3Rw2 U' R 3Uw Lw Dw2 F2 3Rw2 U2 Bw' Fw' F' D2 F Lw U' D2 Rw Bw2 Rw2 Fw' F2 Rw' B Lw Rw' F2 Fw' R' Uw' Rw2 U2 B2 Bw2 3Uw2 L2 Uw U 3Uw2 L' D L2 F' R Bw' D' Lw' U' Dw 3Uw2 Rw Fw' 3Fw2 U' Uw' Dw2;2024-08-02 12:13:31;2:57.158
2;2:47.481;;3Rw2 R 3Fw' Uw2 Bw' Uw2 F 3Fw' Rw2 Bw Uw Dw' Bw' 3Fw2 U' L2 3Rw2 3Fw' D 3Fw2 Fw2 U2 L U2 3Rw' Lw2 3Fw2 Bw' F Fw2 Lw Rw2 D2 Uw2 Dw' 3Rw' Uw' 3Rw L' Dw' Bw' R' U' 3Uw F' L' Fw' Bw' R2 F2 Uw' R Uw' R' Lw' D2 Fw2 R' 3Uw F2 Bw2 Rw' Dw 3Fw B U' F 3Fw Fw Dw Uw B R' 3Rw' B2 Fw' Bw' 3Rw2 Rw2 Uw;2024-08-02 12:39:14;2:47.481
3;2:29.713;;B2 Bw 3Rw2 B' Dw' 3Fw2 Fw' U' F Rw2 3Fw' Bw' D' Rw' Dw2 D Rw2 3Rw D2 3Uw2 Bw B2 L2 Uw2 U' Lw Fw' 3Uw2 F2 3Rw' D2 R2 B2 Dw U' D' Fw2 D2 R' Uw' Lw' Uw' Bw' Dw' Bw2 Uw Bw U2 Rw Uw2 F 3Uw2 L Lw2 B' D' 3Uw2 Uw2 B2 Bw2 3Uw Uw L Lw' B R2 L2 Bw F2 U2 Dw2 3Uw' Lw Rw2 Fw R Lw Rw Uw' Bw';2024-08-02 12:43:40;2:29.713
4;2:55.113;;Uw2 L' 3Fw' R2 U2 D' R' 3Uw2 D' L 3Fw B Bw 3Rw2 U Uw 3Rw' F2 R D' B D' L F' R B' 3Fw2 Uw Rw Bw' 3Fw' F' R' U R Dw2 F' 3Fw2 3Uw' Bw' L2 Dw D 3Fw' F 3Uw' R Fw2 3Rw' D' U' F' Uw 3Rw R2 Dw R U F2 D U' Uw2 3Uw' Lw2 Uw' L' U' Rw2 3Fw' L Fw2 Lw 3Fw' L2 Dw' 3Uw2 Rw2 Dw' Lw' Dw;2024-08-02 14:19:03;2:55.113
5;2:49.577;;Rw' R' 3Fw2 Lw2 Dw' U 3Fw Uw2 L' 3Rw2 B' 3Uw' Rw2 Bw Lw2 Uw2 U2 D' B Bw' F' Fw' Uw2 3Fw Fw' U2 Uw' 3Rw Dw' 3Fw Rw2 F' 3Uw' 3Fw L2 B' Fw Bw2 R' Fw2 3Fw2 3Rw Rw B' F2 D' 3Fw' F Rw2 B' Bw' 3Rw2 Bw' Fw Rw' F2 3Rw Rw' R' F L' D2 B2 3Uw B U2 B2 Fw Uw2 R' Bw 3Fw D B 3Uw2 3Rw' L Dw' Uw D';2024-08-02 14:54:47;2:49.577
6;2:57.725;;D2 R' F' L D Bw' D L' Lw' D' Uw' Lw 3Fw' Lw' Bw2 Uw L 3Fw' L D' Bw 3Rw2 3Uw2 Fw2 Uw U Fw2 Rw R2 U 3Rw' Rw' Fw L2 F2 B' 3Rw' D' U Dw L Dw Rw' 3Uw' Rw F Fw' Dw2 Lw2 F2 Uw2 L' Fw2 Dw2 Fw Lw' R2 Bw2 Uw' L2 Lw2 R' Uw Bw' Dw2 F' L' D R' U2 Lw 3Fw2 3Uw2 Bw2 F' Fw' 3Rw' 3Fw Rw 3Uw';2024-08-02 18:53:58;2:57.725
7;3:20.390;;F Fw 3Fw 3Uw2 U 3Rw B2 3Uw D Fw 3Uw' F' L' Bw Rw 3Uw 3Rw2 Rw' D2 3Fw2 Fw' B' Rw' D' B' Dw Rw' Bw R Rw2 Uw' D' Rw' Uw' U' F' Uw' 3Fw' Lw' 3Fw2 Bw Uw' F2 U2 D 3Rw2 B' L 3Fw2 3Uw' 3Fw' F' D' B L2 Bw F2 Dw2 3Uw2 Lw 3Uw' Rw 3Uw F2 D' Uw' F' Rw2 F2 R2 3Rw Bw' D' U' Rw2 3Fw2 F Uw2 U2 L2;2024-08-02 18:58:00;3:20.390
8;3:03.476;;3Uw2 Dw U' D' R2 Dw2 Bw' L 3Fw2 F 3Uw' L2 D2 Dw 3Rw' U 3Uw' Bw' U Uw2 L2 3Uw2 D' Fw' F' L2 B Lw' Uw2 L' R' 3Rw' Rw' Lw2 Uw L Rw 3Fw' R F2 Rw D Fw B2 Rw D' 3Rw' L Bw2 B2 Lw' Bw L U2 Dw2 3Fw' 3Rw Lw2 Dw' D' 3Rw' Uw R2 3Uw2 D' F' U 3Fw' Fw2 Dw2 D 3Uw' Lw 3Rw2 R2 Bw Rw Uw' L' 3Rw';2024-08-03 13:11:22;3:03.476
9;2:36.373;;Uw' L2 Lw' 3Fw Dw 3Rw' R' 3Fw B' F2 3Rw U' Fw2 3Rw' L' Bw 3Fw2 3Uw2 Fw2 3Fw' F U D' Rw' Uw Rw' U' R' F2 B2 Fw D Fw U Lw R2 B Uw 3Rw L' Lw' Fw2 Bw2 3Fw2 R' L F 3Uw Fw U Uw2 L2 Bw2 3Rw' B2 R 3Fw 3Uw 3Rw Uw2 3Uw Lw' 3Fw' L2 3Rw Lw Dw B U' L' F' 3Uw2 Rw' Dw' D Bw' 3Fw2 3Rw L2 3Fw;2024-08-03 14:12:06;2:36.373
10;2:52.947;;3Fw' R' D' R2 L D 3Uw L 3Uw Rw2 Uw' U2 Dw2 Fw' D2 R2 B2 Dw Rw 3Fw2 L2 Fw Uw2 Lw' Fw D' L 3Rw' 3Uw2 3Fw2 Fw Lw2 U2 3Uw2 Rw F2 U Dw2 Bw2 Dw' D U' F2 R2 3Rw2 Lw2 Fw' U2 Bw' Lw' F' Fw' 3Uw' F' 3Fw2 Fw2 3Uw F2 L D2 Uw Dw' B 3Rw2 Bw' Lw2 3Uw Rw D Fw' 3Rw2 B 3Fw2 Uw' R' 3Fw 3Uw2 B' 3Uw' Bw2;2024-08-03 14:15:52;2:52.947
11;2:51.642;;Bw' F B' Uw2 F' B2 Rw Uw' U2 Dw2 Lw' Fw2 3Uw2 U2 F' B D U2 Uw' F2 R2 3Uw2 B2 F Dw' R2 Uw2 L Bw2 Dw' Lw Uw2 Rw 3Rw2 Bw R 3Rw2 F' 3Rw' B Lw Bw 3Uw 3Rw2 3Fw Fw2 D 3Rw' Lw B Bw2 Rw U' Uw2 Fw2 Lw' Fw L Fw2 R2 L' Dw2 U2 L' F Uw' 3Uw D2 U' R 3Rw2 Rw2 D L2 3Fw2 Uw' D2 3Rw' Dw' L;2024-08-03 14:19:40;2:51.642
12;3:02.833;;L' Lw R 3Uw Uw2 R' Rw 3Fw B D2 B Rw' Uw D' B' R' F 3Uw2 D U L' Rw 3Uw Bw' 3Fw2 D' B 3Uw2 R' Lw' Uw F2 Bw 3Uw 3Fw Uw 3Fw' L F B D2 Uw2 U2 B Uw2 Dw' 3Uw' 3Fw' L 3Uw Dw' 3Fw2 3Uw2 3Fw2 F Rw' B2 L' U2 3Fw' 3Uw Bw' L' Dw' F' Fw U' D2 3Uw' Lw2 B2 Dw' Rw 3Uw Lw2 Rw2 R' 3Rw' D Dw;2024-08-03 14:24:08;3:02.833
13;2:32.919;;Uw Rw2 D B Bw' Rw' 3Uw2 Dw2 U Bw2 F U' 3Fw 3Rw' L2 Lw2 R' 3Fw2 U2 3Rw2 B2 3Rw Rw2 U' B2 D2 B Dw 3Uw' Fw2 R' L' B' D2 3Uw2 Lw' F' Dw' Uw2 Lw2 3Rw2 Dw2 3Rw Fw2 3Uw' Bw Rw2 D' 3Uw' 3Fw' U Bw2 Fw 3Rw' Bw' D Uw' 3Uw 3Fw 3Uw' Uw' Rw' Fw2 U2 F2 3Fw R2 L' B 3Fw 3Uw' Fw L' D Rw Dw' B' Uw' U Fw;2024-08-03 14:28:37;2:32.919
14;2:34.399;;Dw U' F2 3Uw D' U2 3Rw' Fw2 U' Lw2 Dw Fw' U D2 Dw R' 3Fw B F2 Lw2 U' F 3Uw' Rw' 3Uw' L' Lw2 Rw 3Fw' Rw2 Fw2 Lw2 L 3Rw Rw U B2 F2 Fw2 L2 Lw B' U' R Rw L2 Bw Lw' D' 3Rw R2 Rw2 Lw B' U2 F' Bw' B R Lw2 3Rw' 3Uw' Dw 3Rw2 F' Bw' D2 U L Uw2 Rw' Uw2 Bw B' Lw2 3Rw2 Dw2 3Rw Fw' Bw';2024-08-03 14:32:20;2:34.399
15;2:51.728;;Rw2 3Rw Bw' 3Fw' U Lw Dw D2 3Uw 3Rw' Rw2 Fw 3Rw' Bw 3Fw' R2 3Fw' 3Rw' U2 B' 3Rw' Rw2 Bw' L' 3Fw2 Bw2 Fw' B 3Uw2 Uw2 Rw2 B2 Dw 3Rw' B R Lw Rw Fw Bw Uw2 F' Uw Bw 3Rw' B Lw2 Dw Rw2 U2 3Uw' D Bw' Rw' F2 Dw' L2 Rw' 3Rw Lw F' L2 Rw2 3Fw2 Uw D2 Dw B2 Bw' Fw Rw' Dw' 3Uw2 3Fw Bw Fw Rw' F' 3Rw Lw';2024-08-03 14:38:11;2:51.728
16;2:46.304;;Bw' D2 Bw' F' L2 D U Fw Bw 3Rw' D' Bw2 L' 3Fw' U2 R Rw' L Uw F' Bw' U B2 3Rw R Lw L' Rw B2 F2 Bw' Uw F' Lw2 L F2 B2 3Fw' Rw' 3Uw Dw R2 F2 L' Fw Uw2 Bw' Rw' 3Fw Rw Fw2 3Uw' Fw' B2 Bw2 D 3Fw2 F U' Bw Rw' Dw2 3Uw D' L Dw' Fw' Uw2 3Fw' R' B' 3Rw2 Bw Lw U' L 3Rw2 Uw2 Rw L;2024-08-03 14:42:04;2:46.304
17;2:39.112;;D Bw Rw' 3Uw' 3Fw L2 Uw F2 Bw' Rw' 3Rw' 3Uw' L2 Rw' Fw2 3Fw' U B' 3Uw Rw2 Bw' 3Rw B' Fw2 3Fw' D' Fw Uw' 3Rw Dw2 R' Rw' 3Rw2 B Fw2 U Rw' B Rw2 3Fw' D F' L' 3Uw2 Fw' Uw Bw2 D Fw' Uw Bw2 L2 Lw2 3Rw 3Fw F' Fw' Dw' 3Fw2 Dw Rw Uw2 Lw U' Uw' Bw' B2 3Rw2 R Rw Uw2 3Fw' L' Fw2 Lw 3Fw2 Fw2 L2 Lw' 3Uw';2024-08-03 14:47:03;2:39.112
18;2:50.193;;B2 Lw' Rw' L' 3Uw' Dw' 3Fw2 U Lw2 Uw Rw' 3Fw' L' Bw U2 R' 3Rw' Uw Dw2 Lw L2 B' Bw Dw2 R' Lw F' U Bw L U2 D2 Lw' Uw2 Bw2 B' Fw2 Uw' L' R2 D2 F Uw Fw Rw2 Uw2 Lw 3Uw2 Uw L' R 3Fw Dw2 Lw' D 3Uw2 3Fw' R' Uw' 3Rw2 Rw' B' Bw Lw2 3Rw2 Fw 3Rw2 Uw Fw Rw2 D2 3Rw2 R Dw B' L' R2 Fw 3Uw 3Fw';2024-08-03 14:51:48;2:50.193
19;3:17.579;;Dw' R2 Uw' F D2 3Fw' F Lw2 Dw U' Uw' Bw R Lw' 3Fw Uw2 R Bw Uw2 Bw2 3Uw2 Bw R2 Bw 3Uw' Lw F' U2 Fw2 Dw2 F 3Uw' Lw2 F2 Fw2 Dw2 Lw' R' Uw2 B2 Dw2 B' 3Fw 3Rw' Rw' D2 U2 3Rw' 3Fw B' D' B' F2 R2 L' Dw 3Rw2 Bw' B F' 3Uw' Bw 3Rw Uw 3Fw2 3Uw' Bw 3Uw Fw2 Lw' B2 F2 Rw' D R 3Uw Dw R2 Uw' 3Rw;2024-08-03 14:56:13;3:17.579
20;2:48.756;;F' D' L Dw2 3Uw' Lw2 3Fw2 Bw' Lw2 F' 3Uw' Rw' F2 Fw2 Uw2 Dw D2 U' 3Rw' Rw F' R B Bw2 Rw' Uw2 3Uw Fw L' 3Rw 3Uw2 B 3Rw2 3Fw 3Rw2 F Fw Uw R' 3Uw2 Fw2 Uw Lw2 U' Lw2 B2 Rw R 3Fw Dw2 F2 D2 Uw' L Fw F' B2 Rw2 Lw2 R 3Rw' F2 3Uw' Dw U' R2 Bw' L Lw Fw2 D' Lw' U' Dw' Bw2 3Uw' Bw Uw 3Rw Dw';2024-08-03 15:01:08;2:48.756
21;2:58.719;;Bw' Fw 3Rw' Lw2 3Uw Uw2 3Rw' Lw D' U2 Rw2 D2 R' F Rw' 3Rw' Uw U2 B 3Uw' Dw 3Rw Fw2 Uw2 D F D 3Rw' U2 3Uw' D2 Fw2 3Fw2 B Dw Lw' 3Uw' D' 3Fw' F2 3Rw Fw Bw2 3Fw2 3Uw2 Uw' B2 Rw2 3Uw U' 3Rw' Uw Lw2 Bw B 3Fw2 R Dw' 3Fw2 Fw' Uw Rw R B2 3Rw' U 3Fw2 B2 U2 Lw Fw2 L2 Bw U2 D2 R' 3Rw2 F' Rw D2;2024-08-03 15:05:50;2:58.719
22;3:27.411;;Lw2 3Fw Rw' 3Uw D Bw Dw Bw2 R' L 3Rw' U' L' 3Uw' 3Rw2 Lw Bw2 3Uw F Rw2 F B' Dw2 R2 Uw2 3Rw L' R' Uw' Bw Uw' U D2 3Uw2 3Rw2 Rw' B F 3Uw Dw U 3Fw2 L' Lw U' D2 Dw Rw 3Rw B 3Fw2 Lw' L Uw' L2 3Fw2 Bw2 Dw2 3Fw R L F2 Bw' 3Rw' F2 Fw Bw2 R 3Fw Dw2 B' Fw Rw2 Bw Uw B D2 B' 3Rw2 Lw;2024-08-03 15:13:42;3:27.411
23;3:23.943;;Bw 3Rw2 Dw2 D 3Rw2 3Fw B2 F2 R' F2 R Lw' D2 3Uw Bw' Dw 3Fw2 U R Bw' B2 F L' Rw 3Rw' Bw2 R2 3Uw' R 3Rw' F2 3Uw2 D2 U2 R 3Rw2 D' Lw2 D' L2 Dw D2 L' R 3Uw Rw' U2 Rw' Uw 3Fw' F' Bw2 3Uw2 B U Bw Rw L R2 3Uw 3Rw' R2 U2 Uw' 3Uw' Lw 3Fw' R2 B2 3Rw2 Dw Lw 3Rw2 Rw' B' D' B' F 3Uw D';2024-08-03 15:18:23;3:23.943
24;2:36.921;;Lw 3Uw B2 3Fw' Dw' 3Uw2 Rw Fw2 3Rw2 U' Bw2 3Fw R' F2 Fw2 3Uw' L' U2 3Fw Bw2 D' L' R2 D2 3Uw2 L2 Uw Bw B F2 3Rw2 Lw2 Rw 3Fw2 U' Dw2 Fw R 3Uw' Rw2 R' Dw R' F2 B' U2 3Rw D U R' D2 U' B L' 3Fw' B 3Uw2 Lw2 Bw' B2 F' Rw' U Rw' L 3Rw U' 3Uw 3Fw2 Lw D Bw Rw 3Fw2 L2 Dw' 3Rw L' D Dw';2024-08-03 15:57:17;2:36.921
25;2:59.049;;Fw B 3Uw' U2 Uw L2 Rw F Fw' 3Uw' B' R2 Bw Fw' R D' 3Rw D2 F' Uw' U 3Uw' 3Fw2 3Uw2 L' Fw2 L' U F D 3Fw F 3Rw' 3Fw2 U2 3Uw F' D' 3Fw' Lw' U' L' 3Uw2 Rw2 U Lw' 3Rw D2 Uw Lw2 B' F' Fw' Uw2 Dw2 Rw Dw2 B2 Fw' Rw' Fw Dw2 F R' B' Dw2 Fw R2 Lw' U2 F 3Uw B' Uw 3Rw2 3Fw D2 B D' 3Rw;2024-08-03 16:01:21;2:59.049
26;2:42.250;;Fw' Rw' B' 3Fw' D' Bw2 Fw' 3Fw' Dw 3Uw2 U2 Bw2 U' 3Rw U' D' 3Uw Uw2 L2 3Rw2 Rw' Lw Uw R2 B Lw Dw Lw' Dw2 Lw U Rw' 3Uw Fw' Uw Lw2 F R' Dw 3Fw' Lw2 Bw D' R' Rw2 3Fw' D2 3Fw B Uw2 Fw' 3Fw' D2 3Uw2 Bw' D2 R' 3Uw' 3Fw 3Uw2 Fw2 L' Rw2 Fw D2 Bw2 3Fw2 D Rw2 3Rw2 Dw' 3Uw 3Fw F2 L' Uw 3Rw' B' D 3Rw2;2024-08-03 16:09:03;2:42.250
27;3:11.171;;B 3Fw Fw U L' Lw Uw 3Uw' L' Bw' Lw' 3Rw' D 3Fw2 Lw' Rw 3Rw2 U R2 3Uw' D L 3Fw Fw Dw 3Rw2 Rw2 D Dw2 B 3Rw2 Bw' R 3Rw2 3Fw Rw Dw2 3Rw Bw2 Rw 3Fw2 Rw' F2 Bw' D2 Rw L' Bw' Fw B2 D2 Fw' Dw B D2 Dw' L Rw2 Uw L' Rw Uw' D B Rw R2 Dw' Uw' F2 3Uw D' B' R' B L' R' F' L' 3Uw2 R2;2024-08-03 19:41:39;3:11.171
28;3:24.839;;Bw2 Dw2 3Rw' U' 3Fw2 Bw' D' Dw2 Fw' Uw D L' U2 L B' Lw2 3Rw2 Dw2 Lw' L' Rw F2 L Fw' B2 F' 3Rw2 B' Bw2 Lw' 3Rw2 Rw 3Fw2 Fw2 Dw' F' 3Rw' 3Fw2 Lw' 3Fw Dw' Fw L Fw' B' R' Dw F Rw2 L D2 L2 3Rw2 D 3Fw R L2 Fw2 3Uw B' Uw' 3Fw' R 3Rw Fw2 3Uw' R' 3Fw D' 3Fw2 L2 3Rw Uw2 3Fw' 3Rw2 Rw' B2 Lw2 R' Rw';2024-08-03 19:46:16;3:24.839
29;3:29.079;;Bw2 3Uw2 U Fw D Lw2 Dw Uw' Rw2 Fw2 3Uw' 3Rw U2 3Uw Fw' 3Fw 3Uw2 Dw2 Fw' L2 3Rw2 B' Bw2 D' 3Rw B Dw Bw' F' 3Fw2 Uw L Rw' Bw' Lw2 Bw' D Lw2 Uw R 3Uw' Uw' L2 Uw2 D' Lw R' 3Fw2 Dw B Rw 3Fw2 U' 3Fw' U' 3Fw' R B2 F L2 D2 F R2 3Fw' Lw Dw2 3Rw Dw' D 3Fw' L2 Lw F' 3Fw' R' U R2 Fw B Bw';2024-08-03 19:52:11;3:29.079
30;2:37.700;;L2 F 3Uw2 Rw2 3Fw2 U' R2 D U' B2 3Rw2 L2 Uw2 3Uw2 Rw D2 B2 Dw' Bw2 3Uw' 3Rw Fw2 Bw2 Uw' Fw' 3Rw2 Dw' L' 3Rw2 D2 F 3Fw2 Uw' Bw' 3Rw Rw2 L' 3Uw2 Dw2 U D2 Bw2 B2 Dw2 U R' Dw' Rw' F2 D' 3Uw L' Dw2 3Uw' U 3Fw2 Bw Uw L' R' Rw' Lw Bw2 3Rw' Uw' B R' 3Rw' Uw' Dw F Uw' U2 Rw 3Uw' Dw Bw Dw2 Uw Fw';2024-08-03 19:57:57;2:37.700
31;2:46.967;;3Uw' Fw2 Dw' Lw2 Fw2 3Fw2 Bw' 3Uw' 3Rw2 B' Fw2 D R' L2 D B' Dw' L' 3Uw' D2 Fw' Dw Bw' 3Uw' Bw 3Rw R2 F2 Fw Dw Rw F' B U' F Fw Bw2 U Rw2 3Fw Uw' U2 D' Fw' F2 3Rw L U2 Rw F 3Fw2 Bw D2 Fw2 B' Dw2 D' R2 3Fw F2 U2 Dw2 Uw Bw U F2 D B' Uw' 3Rw2 L' B Uw Lw L2 3Uw' Fw F2 Bw' R';2024-08-03 20:01:40;2:46.967
32;2:40.493;;3Fw2 F2 3Uw2 3Fw' D Rw' B2 Rw2 3Fw Fw2 U2 L2 3Rw2 3Uw2 U' Dw' B Bw2 3Rw Bw2 Dw2 Fw2 Lw2 Rw2 R2 Fw F2 Dw' 3Uw2 L2 Fw2 Dw U' D R D2 Rw2 R2 3Uw B2 Fw D2 U2 F2 B' Dw' 3Fw' Bw' B U' B' D' Fw F' L Lw' Rw2 Fw Rw B2 Rw U L' D2 L2 3Rw2 B' Dw' R' B2 Dw2 3Fw' 3Rw Dw2 L' Fw' U Bw 3Rw L;2024-08-03 20:06:23;2:40.493
33;2:41.225;;B' Uw Dw' B' Rw Fw F2 Dw2 3Uw Lw2 3Uw2 3Fw' Fw' Dw' U2 Uw 3Rw U Dw' 3Uw' D2 Bw' Rw 3Fw B' Rw2 3Fw Uw 3Rw' R' Dw F' R2 3Fw B2 Fw Uw2 B2 3Rw R' Bw' F' Rw2 Dw2 D2 Rw R2 U' 3Fw2 Bw 3Rw Bw2 Fw Uw 3Rw2 Uw' F R2 F2 U2 Uw Dw2 Lw' D2 R2 3Rw 3Fw U' B2 3Fw' L D2 Lw' F' 3Rw2 Uw' 3Fw' Rw2 U' 3Uw';2024-08-03 20:10:26;2:41.225
34;2:48.807;;B2 Uw2 3Uw2 Fw' 3Rw B' F 3Uw2 3Rw2 Uw2 U Bw Dw Bw F Rw' Uw2 Rw Bw2 L2 3Fw 3Uw Dw D2 B' Uw' Bw2 3Fw' F Dw Uw Fw F Rw2 D2 Dw L B 3Uw D2 Rw Fw L 3Uw2 Uw R' Uw2 R' L2 3Rw2 D' B' R2 Fw2 3Rw F' Lw Bw2 3Rw2 3Uw2 3Rw Rw' F' D2 Bw' Uw' 3Rw2 B2 U2 B2 Rw' R' D2 R Bw2 B' F' Uw Lw2 Dw;2024-08-03 20:14:57;2:48.807
35;2:34.046;;U F Bw' 3Uw L' U2 Fw2 3Rw' 3Fw2 3Uw' D2 F2 U' Uw Bw' 3Rw' Rw2 R2 3Uw B 3Fw' 3Rw' F' 3Uw' 3Rw2 D R 3Rw' B2 Bw' 3Fw' D2 U 3Uw2 3Fw B' Uw2 3Rw' Uw 3Fw2 U 3Fw2 3Uw2 L 3Fw' F Bw2 R Rw2 B' R 3Fw2 3Rw' R2 D' 3Rw L' B2 D' 3Rw Dw' 3Fw' R' 3Fw Bw2 R2 3Uw' D' B' U D B' 3Fw Lw U2 Dw2 L2 Uw L2 Fw2;2024-08-03 20:19:36;2:34.046
